#U fC  << this is the unit 
#             eta             phi             dep             det  cov_0_0  cov_0_1  cov_0_2  cov_0_3  cov_1_0  cov_1_1  cov_1_2  cov_1_3  cov_2_0  cov_2_1  cov_2_2  cov_2_3  cov_3_0  cov_3_1  cov_3_2  cov_3_3      DetId
               -1               1              14      CASTOR_HAD  8.24443  2.26963 -0.44763 -0.45088 -0.23219  8.41492  2.21837 -0.46080 -0.38850 -0.39335  8.35870  2.16936  2.18916 -0.39488 -0.30491  8.21312   5600000E
               -1               2               1       CASTOR_EM 11.28737  1.69167 -0.87573  0.35930  0.54010 11.38513  1.69676 -0.75858 -0.82208  0.41261 11.32730  1.70027  1.60179 -0.89523  0.42276 11.15405   56000011
               -1               2               2       CASTOR_EM  7.09438  1.75472 -0.07306 -0.20953 -0.05358  7.09863  1.80807 -0.09566 -0.05118 -0.03664  7.09120  1.71004  1.70210 -0.05770 -0.09436  7.06227   56000012
               -1               2               3      CASTOR_HAD  6.81134  2.11806  0.51184 -0.20981 -0.16281  7.16080  2.18831  0.55473  0.41266 -0.14783  7.13703  2.09332  2.05237  0.54744 -0.11157  6.79048   56000013
               -1               2               4      CASTOR_HAD  6.51572  1.53844  0.22855 -0.18301  0.00085  6.80114  1.62624  0.12437  0.10273 -0.06978  6.71811  1.46400  1.46312  0.18884  0.01137  6.44411   56000014
               -1               2               5      CASTOR_HAD 13.48834  4.12703 -0.97681 -0.68581 -0.66637 13.49860  4.05360 -0.85732 -0.92561 -0.74709 13.44936  4.17503  4.16972 -0.91779 -0.73203 13.39595   56000015
               -1               2               6      CASTOR_HAD  9.45215  1.78610 -2.23337 -0.47620 -0.45992  9.53950  1.85009 -2.27008 -2.32770 -0.31641  9.44330  1.81425  1.63194 -2.29164 -0.37004  9.29071   56000016
               -1               2               7      CASTOR_HAD 11.83215  1.71719 -3.10020  0.57298  0.80121 11.78165  1.71682 -3.03694 -3.05910  0.53355 11.74178  1.79652  1.67529 -3.11599  0.67123 11.70103   56000017
               -1               2               8      CASTOR_HAD  7.82984  1.68407 -0.54947 -0.42836 -0.51151  7.91434  1.84740 -0.51810 -0.62405 -0.11085  7.87160  1.74152  1.64584 -0.53828 -0.30808  7.64066   56000018
               -1               2               9      CASTOR_HAD  7.45264  1.45171 -0.39800 -0.10725 -0.14314  7.69685  1.53857 -0.35286 -0.49918  0.09971  7.67068  1.41290  1.34261 -0.34256  0.01737  7.49319   56000019
               -1               2              10      CASTOR_HAD  7.59655  2.04318  0.59267 -0.07829  0.07984  7.66401  2.00694  0.52579  0.58877 -0.04606  7.48637  1.89487  1.90598  0.51084 -0.07261  7.41904   5600001A
               -1               2              11      CASTOR_HAD  6.78490  1.67413  0.25197 -0.12186  0.02412  6.88667  1.75861  0.23022  0.25267  0.09997  6.89091  1.63772  1.62655  0.36476  0.14616  6.73662   5600001B
               -1               2              12      CASTOR_HAD  7.52788  1.93129  0.11618 -0.19084 -0.20244  7.74500  2.02301  0.22978  0.21263 -0.00020  7.70540  2.00598  1.77530  0.09698 -0.20409  7.43993   5600001C
               -1               2              13      CASTOR_HAD  7.71827  1.84235  0.33173 -0.20839 -0.16295  7.73327  1.86301  0.31130  0.34813 -0.04639  7.68839  1.79713  1.73602  0.32811 -0.13365  7.48074   5600001D
               -1               2              14      CASTOR_HAD  8.36124  1.95504 -0.67151 -0.46104 -0.30836  8.37690  1.99159 -0.69876 -0.53548 -0.19830  8.37670  1.91937  1.89568 -0.61449 -0.25107  8.25397   5600001E
               -1               3               1       CASTOR_EM 11.87792  0.88008 -1.56469  0.06583 -0.07231 11.78065  0.89108 -1.62749 -1.63713 -0.03909 11.55998  0.63204  0.81842 -1.57794 -0.04411 11.50687   56000021
               -1               3               2       CASTOR_EM  8.03447  0.45647  0.86057 -0.44304 -0.35601  7.79688  0.38045  0.64351  0.81339 -0.35333  7.51318  0.12251  0.33997  0.77597 -0.44915  7.69585   56000022
               -1               3               3      CASTOR_HAD 10.18862  1.72881 -1.49256  0.86527  0.74954 10.12482  1.70706 -1.62384 -1.54044  0.77719 10.07426  1.62491  1.72504 -1.48255  0.77482 10.08904   56000023
               -1               3               4      CASTOR_HAD  8.98905  3.90855  2.22987  1.32827  1.66732  8.74007  3.73721  2.00417  2.27985  1.61945  8.50211  3.61098  3.73646  2.20564  1.39564  8.40736   56000024
               -1               3               5      CASTOR_HAD 13.38646  3.03262 -1.67244  3.05467  3.24274 13.23656  2.81816 -1.60749 -1.59128  3.15999 13.05472  2.86254  2.86179 -1.59850  3.02489 13.12261   56000025
               -1               3               6      CASTOR_HAD  9.57803  3.90169  1.99187  0.97431  1.05626  9.47511  3.88864  1.87189  1.90244  1.01083  9.42089  3.76018  3.86549  1.88301  1.02692  9.42671   56000026
               -1               3               7      CASTOR_HAD  7.94329  1.98949 -0.01233 -0.09402  0.00257  8.04928  2.05870 -0.01904 -0.05623 -0.00906  8.00051  1.98186  1.86445 -0.01427  0.01655  7.84085   56000027
               -1               3               8      CASTOR_HAD 92.05598  9.95029 -34.93161 18.12802 17.72055 92.99998 10.23103 -35.32384 -35.20699 18.63185 94.34717 10.22658  9.61694 -35.16579 18.86201 93.61981   56000028
               -1               3               9      CASTOR_HAD  7.61483  1.32973 -0.39990 -0.12120  0.00057  7.79672  1.49561 -0.35242 -0.38440  0.14439  7.76665  1.35062  1.20421 -0.28511  0.08678  7.42737   56000029
               -1               3              10      CASTOR_HAD  6.56046  1.71964  0.53587  0.03735  0.04675  6.48782  1.58346  0.51038  0.47486 -0.04993  6.08978  1.45451  1.66001  0.56909 -0.07675  6.06393   5600002A
               -1               3              11      CASTOR_HAD  8.17552  1.83176  0.50461 -0.13188 -0.30263  8.07947  1.80469  0.60718  0.44766 -0.35809  7.81595  1.78491  1.82188  0.53354 -0.23723  7.79660   5600002B
               -1               3              12      CASTOR_HAD  7.32207  1.73322  0.03494 -0.08078  0.10148  7.29214  1.62599  0.15945  0.04967 -0.02853  7.00616  1.52872  1.62218  0.09111 -0.16047  7.02084   5600002C
               -1               3              13      CASTOR_HAD  7.17059  1.93964 -0.16237 -0.49625 -0.45433  7.46323  1.97719 -0.13053 -0.38890 -0.55265  7.34901  1.89902  1.75758 -0.18275 -0.51060  7.21158   5600002D
               -1               3              14      CASTOR_HAD  6.27265  1.66491  0.48672 -0.01831  0.04268  6.32351  1.73888  0.51722  0.43903  0.12650  6.40234  1.67881  1.55210  0.48217  0.09456  6.14420   5600002E
               -1               4               1       CASTOR_EM 10.25876  2.19197 -1.34779 -0.38640 -0.29718 10.54616  2.19374 -1.41957 -1.42076 -0.29280 10.51578  2.19612  2.11391 -1.42685 -0.29099 10.23479   56000031
               -1               4               2       CASTOR_EM  6.78825  1.75758  0.59695 -0.02964 -0.03345  7.01089  1.80306  0.61183  0.67165  0.15237  7.05949  1.71513  1.63850  0.62106  0.04959  6.70473   56000032
               -1               4               3      CASTOR_HAD  9.75714  2.27431 -1.08467 -0.59660 -0.66070  9.87863  2.38876 -1.00184 -0.86533 -0.26733  9.89024  2.37135  2.24566 -1.04329 -0.59103  9.60870   56000033
               -1               4               4      CASTOR_HAD  7.75874  2.30108  0.22995 -0.30367 -0.32448  7.97875  2.31263  0.24472  0.09425 -0.23388  7.92676  2.27612  2.28490  0.28392 -0.19705  7.71194   56000034
               -1               4               5      CASTOR_HAD  9.97560  1.32493 -1.89616  1.27870  1.32463 10.01464  1.41705 -1.90331 -1.92890  1.45612 10.06940  1.35282  1.30091 -1.79570  1.45319  9.83303   56000035
               -1               4               6      CASTOR_HAD  7.68990  1.85110 -0.48649  0.01697 -0.08775  7.83891  1.90171 -0.45780 -0.78584  0.01468  7.82856  1.79426  1.73189 -0.49449  0.05862  7.69136   56000036
               -1               4               7      CASTOR_HAD  9.78389  2.18450 -1.13522  0.33627  0.44921  9.79823  2.12764 -1.21027 -1.03914  0.46431  9.59254  2.09318  2.14189 -1.06743  0.34750  9.44682   56000037
               -1               4               8      CASTOR_HAD  7.09529  1.71954  0.36439  0.00631 -0.02527  6.99085  1.69801  0.33106  0.30417 -0.06008  6.97313  1.60557  1.70869  0.36551 -0.02814  6.94032   56000038
               -1               4               9      CASTOR_HAD  7.15695  1.94858  0.52930  0.00070  0.06543  6.93073  1.93434  0.36748  0.48468  0.03452  6.79167  1.83946  1.87827  0.40439  0.02849  6.77644   56000039
               -1               4              10      CASTOR_HAD  7.30840  2.12637  0.61734 -0.02641  0.03726  7.29918  2.18065  0.62276  0.52724 -0.14056  7.12207  2.05176  2.10870  0.53748 -0.00778  7.07265   5600003A
               -1               4              11      CASTOR_HAD  7.97711  1.49794  0.43141 -0.00155  0.40599  7.94849  1.45560  0.37815  0.35876  0.18663  7.65868  1.26617  1.40998  0.35490  0.03200  7.69173   5600003B
               -1               4              12      CASTOR_HAD  7.54491  1.97788  0.06371  0.06995  0.21121  7.50600  1.83363  0.12277  0.12380  0.14362  7.29008  1.86330  1.89171  0.09623 -0.01215  7.35205   5600003C
               -1               4              13      CASTOR_HAD 10.52903  2.26783 -1.81222 -0.84713 -0.62991 10.45560  2.29282 -1.71928 -1.61404 -0.78522 10.44731  2.36150  2.15461 -1.83621 -0.83931 10.49760   5600003D
               -1               4              14      CASTOR_HAD  7.12769  2.23039  0.63958 -0.13069 -0.00417  7.21353  2.25951  0.57088  0.60934  0.02603  7.12966  2.12292  2.13351  0.63226 -0.02546  6.92658   5600003E
               -1               5               1       CASTOR_EM  7.78596  1.77350  0.25398 -0.10041  0.01370  7.78683  1.75473  0.22491  0.22266 -0.06152  7.68479  1.72519  1.73548  0.18318 -0.06353  7.48947   56000041
               -1               5               2       CASTOR_EM  8.17197  2.07452  0.35126 -0.20876 -0.03281  8.22211  2.17289  0.29351  0.18707 -0.04791  8.20885  1.97762  1.93335  0.36219 -0.00122  8.01413   56000042
               -1               5               3      CASTOR_HAD  7.81938  1.38419 -0.30098  0.26126  0.30820  8.07401  1.48191 -0.23300 -0.34123  0.37937  8.03104  1.40817  1.26929 -0.33464  0.30000  7.73569   56000043
               -1               5               4      CASTOR_HAD  7.11725  1.88474  0.32387 -0.15794 -0.12524  7.32253  1.97752  0.35185  0.29929  0.10394  7.31793  1.89765  1.78793  0.34560 -0.03128  7.01970   56000044
               -1               5               5      CASTOR_HAD  8.32188  1.77130  0.22544 -0.06239 -0.02923  8.23840  1.88145  0.29757  0.33092  0.29932  8.03909  1.79807  1.79607  0.35519  0.11619  8.32847   56000045
               -1               5               6      CASTOR_HAD  9.86375  1.28703 -0.68991  0.59475  0.69498  9.82946  1.31937 -0.66567 -0.52086  0.86133  9.85002  1.19906  1.20757 -0.71475  0.61275  9.61102   56000046
               -1               5               7      CASTOR_HAD  9.09412  1.64463 -0.38534  0.56902  0.68744  9.18857  1.68656 -0.40791 -0.50793  0.56899  9.06512  1.54670  1.58284 -0.29411  0.68613  9.00741   56000047
               -1               5               8      CASTOR_HAD  8.75132  1.97037 -0.54445 -0.17841 -0.13653  8.96727  2.01164 -0.57314 -0.58318 -0.11868  8.92819  1.95077  1.87888 -0.62875 -0.19682  8.85384   56000048
               -1               5               9      CASTOR_HAD  8.54312  2.39596  0.28745 -0.15524 -0.15961  8.48664  2.39220  0.31661  0.30067 -0.06612  8.45422  2.36591  2.32184  0.24639 -0.17516  8.12549   56000049
               -1               5              10      CASTOR_HAD  6.87874  1.80472  0.35046 -0.09677 -0.14954  7.03874  1.86806  0.42876  0.32286 -0.09044  7.02417  1.83696  1.75597  0.38177 -0.04610  6.73724   5600004A
               -1               5              11      CASTOR_HAD  9.42976  3.74370  1.59654 -0.22408 -0.18816  9.59779  3.75893  1.54610  1.67029 -0.01840  9.67372  3.79040  3.78278  1.64859 -0.10472  9.41734   5600004B
               -1               5              12      CASTOR_HAD  7.79096  2.54640  0.86362  0.09898  0.22187  7.86707  2.55495  0.88666  0.96413  0.12794  7.84403  2.53556  2.44270  0.81486  0.03648  7.65283   5600004C
               -1               5              13      CASTOR_HAD  7.74721  1.72517  0.22393 -0.01959 -0.10472  7.67297  1.55647  0.14098  0.27787 -0.03107  7.47736  1.55579  1.62123  0.20657 -0.17400  7.39821   5600004D
               -1               5              14      CASTOR_HAD  8.16982  1.88924  0.64524 -0.12637 -0.05534  8.33720  2.00168  0.57219  0.61002  0.15361  8.32627  1.85208  1.84267  0.65802  0.06561  8.16830   5600004E
               -1               6               1       CASTOR_EM  8.89995  0.76982  0.05721  0.38847  0.24944  8.86355  0.66426  0.08534  0.05054  0.36699  8.60005  0.65366  0.71793  0.10793  0.21249  8.57408   56000051
               -1               6               2       CASTOR_EM  7.84013  1.92329  0.30177  0.03107  0.01688  7.75942  1.84566  0.26142  0.27367  0.05704  7.42898  1.76752  1.84181  0.29028 -0.04712  7.42773   56000052
               -1               6               3      CASTOR_HAD  7.75827  1.92319  0.45618  0.20045 -0.00893  7.60600  1.89611  0.30076  0.34350  0.05222  7.39316  1.64037  1.75397  0.34885  0.06512  7.35071   56000053
               -1               6               4      CASTOR_HAD  6.53346  1.83234  0.58791 -0.04756  0.07121  6.51979  1.75290  0.56589  0.79295  0.10791  6.45561  1.81366  1.81453  0.51013 -0.14172  6.43924   56000054
               -1               6               5      CASTOR_HAD  8.12842  1.87473  0.58463 -0.27636 -0.25162  8.34637  1.90040  0.53394  0.51379 -0.13152  8.25037  1.76024  1.79724  0.53098 -0.16281  8.05776   56000055
               -1               6               6      CASTOR_HAD  8.49657  1.67186  0.06445  0.05286  0.16980  8.67929  1.77400 -0.01245  0.01805  0.07599  8.65736  1.67353  1.67394  0.02306  0.15189  8.58418   56000056
               -1               6               7      CASTOR_HAD  8.89444  1.20094 -0.50085  0.60118  0.75959  9.02892  1.28145 -0.51964 -0.47430  0.67325  8.97284  1.15585  1.21822 -0.31641  0.79398  8.74567   56000057
               -1               6               8      CASTOR_HAD  7.79276  1.81095  0.38660  0.03828 -0.08870  7.96495  1.89579  0.33116  0.05303  0.07334  7.97187  1.78786  1.69701  0.41956  0.18857  7.80672   56000058
               -1               6               9      CASTOR_HAD  8.04809  1.84633 -0.26312 -0.29617 -0.29830  7.98592  1.93042 -0.22446 -0.31017 -0.17997  7.94392  1.91599  1.83196 -0.19913 -0.16476  7.71651   56000059
               -1               6              10      CASTOR_HAD  7.03849  1.55355  0.38551  0.17688  0.33629  7.13897  1.63012  0.36581  0.45079  0.27740  7.08863  1.46597  1.47589  0.42725  0.28914  6.72745   5600005A
               -1               6              11      CASTOR_HAD  6.60246  1.54098  0.22288 -0.16845 -0.07195  6.60989  1.62195  0.17574  0.26848  0.00519  6.60036  1.52660  1.47227  0.23314 -0.05800  6.50965   5600005B
               -1               6              12      CASTOR_HAD  6.74832  1.58673  0.28519 -0.08184 -0.14629  6.76083  1.69470  0.28630  0.15574  0.17230  6.76926  1.54630  1.59184  0.36340  0.00209  6.52556   5600005C
               -1               6              13      CASTOR_HAD  7.12731  1.90916  0.43954  0.10579  0.00748  7.09912  1.80270  0.41792  0.44195 -0.02513  6.66576  1.67494  1.83737  0.43750 -0.05080  6.62732   5600005D
               -1               6              14      CASTOR_HAD  7.35318  1.60162 -0.08787 -0.11240 -0.18346  7.42516  1.73066 -0.07243 -0.18072  0.01443  7.44469  1.63686  1.50580 -0.09241 -0.03157  7.34132   5600005E
               -1               7               1       CASTOR_EM  7.34008  2.03262  0.18677 -0.24074 -0.15527  7.28908  1.86794  0.15016  0.21991 -0.19007  7.10170  1.82841  1.91903  0.22563 -0.31818  7.16032   56000061
               -1               7               2       CASTOR_EM 16.80244  3.82289  1.45937 -2.34875 -2.19061 16.72531  3.72588  1.15637  1.41103 -2.22493 16.67363  3.70628  3.80457  1.46858 -2.14279 16.65891   56000062
               -1               7               3      CASTOR_HAD  7.30462  1.71281  0.68199 -0.18421  0.01685  7.24433  1.57221  0.39474  0.67221 -0.03257  6.92664  1.39299  1.56063  0.61173 -0.14671  6.96687   56000063
               -1               7               4      CASTOR_HAD  8.10930  2.33047  0.66525 -0.12189 -0.04106  8.07378  2.25871  0.73906  0.69585 -0.07336  7.74886  2.17856  2.20789  0.63492 -0.16432  7.72513   56000064
               -1               7               5      CASTOR_HAD  6.86316  1.77454  0.34374  0.08868 -0.06284  6.69698  1.66774  0.38200  0.32836 -0.06813  6.70509  1.61223  1.71633  0.33154 -0.09941  6.66245   56000065
               -1               7               6      CASTOR_HAD  6.70432  1.83902  0.29565 -0.13346  0.08842  6.67097  1.68328  0.18054  0.29520 -0.02960  6.39718  1.54540  1.66921  0.25118 -0.21243  6.40980   56000066
               -1               7               7      CASTOR_HAD 10.44643  1.66856 -0.25935 -0.38874 -0.29516 10.28121  1.62315 -0.16031 -0.27867 -0.41367 10.16534  1.55325  1.63558 -0.22804 -0.37035 10.25961   56000067
               -1               7               8      CASTOR_HAD  6.91458  1.63754  0.35718  0.01638  0.06483  6.83185  1.49482  0.24299  0.42525  0.10717  6.47437  1.51129  1.61010  0.42088 -0.01700  6.44437   56000068
               -1               7               9      CASTOR_HAD  8.81252  1.12898 -0.76495  0.31174  0.55194  8.67235  1.11102 -0.61462 -0.70610  0.49657  8.42741  1.16454  1.05002 -0.82521  0.34651  8.41736   56000069
               -1               7              10      CASTOR_HAD  8.65923  3.01102  0.85017 -0.15179  0.05830  8.52151  2.90299  0.82451  0.89643 -0.03123  8.20381  2.84415  2.96391  0.87560 -0.16947  8.42116   5600006A
               -1               7              11      CASTOR_HAD  7.32877  2.18752  0.28775 -0.34219 -0.19957  7.34222  2.09106  0.26411  0.37895 -0.19263  7.08824  2.06990  2.11256  0.38094 -0.35082  7.08177   5600006B
               -1               7              12      CASTOR_HAD  8.32656  2.21291  0.26943 -0.10435  0.06477  8.27831  2.13735  0.30998  0.32159 -0.05017  8.17419  2.13140  2.13393  0.25508 -0.22034  8.06159   5600006C
               -1               7              13      CASTOR_HAD 19.98203  3.76236 -4.84515 -0.19501 -0.17719 19.97168  3.65166 -4.85212 -4.60034 -0.04951 19.90025  3.58250  3.94067 -4.72162 -0.15957 19.82252   5600006D
               -1               7              14      CASTOR_HAD  7.84306  1.85719 -0.02882 -0.52962 -0.50642  7.94087  1.90852 -0.06097 -0.03748 -0.27999  7.87186  1.79636  1.75549 -0.02030 -0.38361  7.60693   5600006E
               -1               8               1       CASTOR_EM  7.68929  2.06116  0.58957  0.14827 -0.06423  7.64231  2.01658  0.43749  0.53996  0.07852  7.46223  1.89763  2.00368  0.57527  0.07633  7.57332   56000071
               -1               8               2       CASTOR_EM  6.98647  1.87162  0.20485 -0.21574  0.12589  6.97373  1.79344  0.18655  0.18326 -0.08104  6.81429  1.56102  1.67523  0.13375 -0.25298  6.62708   56000072
               -1               8               3      CASTOR_HAD  7.69131  1.47040  0.18951 -0.14110 -0.15630  7.51125  1.41322  0.16162  0.15675 -0.16037  7.16238  1.27011  1.43152  0.14424 -0.13095  7.14146   56000073
               -1               8               4      CASTOR_HAD  8.34599  1.64885  0.39754 -0.26472 -0.07904  8.29791  1.54883  0.28844  0.32199 -0.22874  8.01180  1.35484  1.57867  0.33599 -0.23251  8.02914   56000074
               -1               8               5      CASTOR_HAD  7.55721  2.05027  0.45854  0.09289  0.19557  7.60410  1.99947  0.64241  0.39182 -0.01041  7.33382  1.91597  2.01608  0.46372  0.07245  7.48849   56000075
               -1               8               6      CASTOR_HAD  6.92288  1.99323  0.32977 -0.10334  0.10210  6.79642  1.84632  0.25121  0.28074 -0.03229  6.60716  1.71149  1.84408  0.30105 -0.06302  6.36719   56000076
               -1               8               7      CASTOR_HAD  7.93138  1.59533  0.35729  0.00780  0.12431  7.76279  1.44438  0.25627  0.35778  0.02287  7.46536  1.39249  1.48769  0.29723 -0.08992  7.51471   56000077
               -1               8               8      CASTOR_HAD 1695.01904 636.82281 80.54077 -73.72052 -64.12964 1677.07971 631.56287 100.13098 108.14459 -70.02490 1678.58801 643.54492 645.69678 88.73926 -72.62372 1644.69653   56000078
               -1               8               9      CASTOR_HAD  8.30583  1.49991  0.21582 -0.17379 -0.07108  8.26128  1.47096  0.13750  0.19396 -0.05657  8.01960  1.39558  1.43526  0.17824 -0.16885  7.94896   56000079
               -1               8              10      CASTOR_HAD  9.58149  4.09900  1.51196 -0.42292 -0.44299  9.42543  4.03381  1.33217  1.42223 -0.48732  9.49635  3.94099  4.02872  1.38704 -0.54314  9.24394   5600007A
               -1               8              11      CASTOR_HAD  7.64031  1.80459  0.18398 -0.32301  0.02412  7.52579  1.68228 -0.07703  0.23714 -0.02512  7.31680  1.61108  1.67400  0.18401 -0.19164  7.30124   5600007B
               -1               8              12      CASTOR_HAD  7.06044  1.99482  0.20850 -0.19641 -0.12125  7.06126  1.88696  0.07963  0.20008 -0.12302  6.67459  1.71494  1.83037  0.19570 -0.24666  6.64554   5600007C
               -1               8              13      CASTOR_HAD  6.70770  1.58058  0.06142 -0.20851 -0.18800  7.03646  1.71513  0.10141 -0.12682 -0.11121  6.96309  1.62933  1.53034  0.12477 -0.08008  6.66259   5600007D
               -1               8              14      CASTOR_HAD  7.23302  1.77281  0.03947  0.05305 -0.09399  7.42425  1.67378  0.05678  0.02766 -0.07536  6.88667  1.49757  1.57088 -0.01848 -0.22281  6.89349   5600007E
               -1               9               1       CASTOR_EM  6.74707  1.63914  0.37805 -0.05336 -0.03130  6.89006  1.59848  0.42297  0.33363 -0.08645  6.63535  1.46569  1.50443  0.36422 -0.13612  6.65084   56000081
               -1               9               2       CASTOR_EM  6.65616  1.43993  0.15889 -0.26197  0.19883  6.54327  1.36436  0.20316  0.20296 -0.04037  6.44059  1.27492  1.35826  0.16550 -0.14359  6.33414   56000082
               -1               9               3      CASTOR_HAD  6.94615  1.66160  0.25916  0.09949 -0.08233  6.86421  1.46976  0.46391  0.38002 -0.02476  6.57075  1.52578  1.60991  0.38058 -0.22271  6.45503   56000083
               -1               9               4      CASTOR_HAD  8.24137  1.46004  0.56564 -0.18342 -0.07747  8.33827  1.54550  0.55114  0.48219 -0.06348  8.36509  1.47543  1.42717  0.56822 -0.04933  8.31190   56000084
               -1               9               5      CASTOR_HAD  6.85778  1.55908  0.30709 -0.11572 -0.18588  7.05846  1.62166  0.37965  0.31159  0.08434  7.04696  1.56991  1.45288  0.39135 -0.03377  6.76691   56000085
               -1               9               6      CASTOR_HAD  6.67632  1.58414  0.33153 -0.11395  0.06116  6.85416  1.68391  0.26762  0.33851  0.15771  6.76101  1.45262  1.51176  0.37810  0.07771  6.44031   56000086
               -1               9               7      CASTOR_HAD  7.02304  1.11050 -0.20283  0.19777  0.22524  6.97832  1.23862 -0.19835 -0.21262  0.40466  6.98764  1.12938  1.15252 -0.08199  0.38283  6.72055   56000087
               -1               9               8      CASTOR_HAD  8.26641  2.14649  0.42981  0.04742  0.06674  8.38541  2.15498  0.43637  0.47103  0.12530  8.35245  2.12286  2.16142  0.42738  0.06359  8.05394   56000088
               -1               9               9      CASTOR_HAD  6.62180  1.51067  0.45814 -0.09899 -0.00574  6.70155  1.61686  0.51212  0.59581  0.13573  6.73368  1.54648  1.42204  0.46464 -0.04676  6.61968   56000089
               -1               9              10      CASTOR_HAD  8.73872  1.84374  0.30843 -0.41178 -0.20467  8.67170  1.88403  0.33836  0.46889 -0.26894  8.60010  1.82906  1.79494  0.33481 -0.32026  8.45406   5600008A
               -1               9              11      CASTOR_HAD  8.14072  2.07420  0.18496 -0.11429 -0.04330  8.21992  2.16128  0.31857  0.28172  0.09336  8.18050  2.16499  1.85043  0.13709 -0.14523  7.97713   5600008B
               -1               9              12      CASTOR_HAD  8.84895  2.68098  0.46683  0.09444  0.17115  9.10218  2.58272  0.31855  0.34908 -0.01188  9.05447  2.52316  2.64095  0.40555  0.05963  8.76700   5600008C
               -1               9              13      CASTOR_HAD  6.75632  1.52035  0.17725 -0.33228 -0.35910  6.51686  1.63380  0.23653  0.14855 -0.17833  6.63454  1.65102  1.54913  0.22644 -0.20370  6.33784   5600008D
               -1               9              14      CASTOR_HAD  9.76556  3.30953  1.59634  0.78200  0.77335  9.58224  3.21581  1.59621  1.61458  0.77657  9.41206  3.25681  3.35963  1.69296  0.80435  9.54747   5600008E
               -1              10               1       CASTOR_EM  7.00428  1.67104  0.39944 -0.00005  0.07278  6.92339  1.61328  0.36169  0.37547  0.00787  6.54526  1.44070  1.61069  0.30115 -0.07008  6.57367   56000091
               -1              10               2       CASTOR_EM  8.28872  1.49728  0.38663 -0.18935 -0.39155  7.07425  1.26392  0.20332  0.38326 -0.21887  6.77196  1.20308  1.27983  0.39912 -0.30662  6.74206   56000092
               -1              10               3      CASTOR_HAD  7.54733  1.67998  0.32413 -0.33427 -0.05258  7.48778  1.76700  0.14693  0.28403 -0.13734  7.37051  1.62173  1.55873  0.10501 -0.31772  7.16817   56000093
